Algoritmo,Tamaño,Distribucion,Replica,Tiempo_ms,Memoria_MB
QuickSort,1000,inversa,6,2.6453999998921063,0.0238494873046875
MergeSort,1000,inversa,6,4.618299999492592,0.019073486328125
QuickSort,1000,inversa,7,1.897399999506888,0.0238494873046875
MergeSort,1000,inversa,7,3.081900000324822,0.019073486328125
QuickSort,1000,inversa,8,1.9462000000203261,0.0238494873046875
MergeSort,1000,inversa,8,2.561200000855024,0.019073486328125
QuickSort,1000,inversa,9,2.2702999995090067,0.0238494873046875
MergeSort,1000,inversa,9,4.078799998751492,0.019073486328125
QuickSort,1000,inversa,10,1.6473999985464616,0.0238494873046875
MergeSort,1000,inversa,10,2.389400000538444,0.019073486328125
QuickSort,1000,inversa,11,1.8575999984022928,0.0238494873046875
MergeSort,1000,inversa,11,3.222399998776382,0.019073486328125
QuickSort,1000,inversa,12,1.7413999994460028,0.0238494873046875
MergeSort,1000,inversa,12,3.485799999907613,0.019073486328125
QuickSort,1000,inversa,13,2.10730000071635,0.0238494873046875
MergeSort,1000,inversa,13,2.5141999994957587,0.019073486328125
QuickSort,1000,inversa,14,1.7809999990276992,0.0238494873046875
MergeSort,1000,inversa,14,2.6204999994661193,0.019073486328125
QuickSort,1000,inversa,15,2.1892000004299916,0.0238494873046875
MergeSort,1000,inversa,15,5.007499999919673,0.019073486328125
QuickSort,1000,inversa,16,2.788400001008995,0.0238494873046875
MergeSort,1000,inversa,16,3.594699999666773,0.019073486328125
QuickSort,1000,inversa,17,1.9553999991330784,0.0238494873046875
MergeSort,1000,inversa,17,2.37119999837887,0.019073486328125
QuickSort,1000,inversa,18,1.878999999462394,0.0238494873046875
MergeSort,1000,inversa,18,4.065299999638228,0.019073486328125
QuickSort,1000,inversa,19,2.90339999992284,0.0238494873046875
MergeSort,1000,inversa,19,3.5330999999132473,0.019073486328125
QuickSort,1000,inversa,20,2.7871999991475604,0.0238494873046875
MergeSort,1000,inversa,20,3.084300000409712,0.019073486328125
QuickSort,1000,inversa,21,2.0113000009587267,0.0238494873046875
MergeSort,1000,inversa,21,2.429899999697227,0.019073486328125
QuickSort,1000,inversa,22,2.4152999994839774,0.0238494873046875
MergeSort,1000,inversa,22,4.660200000216719,0.019073486328125
QuickSort,1000,inversa,23,3.7198000009084353,0.0238494873046875
MergeSort,1000,inversa,23,3.0377000002772547,0.019073486328125
QuickSort,1000,inversa,24,1.7090000001189765,0.0238494873046875
MergeSort,1000,inversa,24,2.4936999998317333,0.019073486328125
QuickSort,1000,inversa,25,1.7083000002457993,0.0238494873046875
MergeSort,1000,inversa,25,4.431199999089586,0.019073486328125
QuickSort,1000,inversa,26,2.0129999993514502,0.0238494873046875
MergeSort,1000,inversa,26,2.5943999989976874,0.019073486328125
QuickSort,1000,inversa,27,1.9228999990446027,0.0238494873046875
